genre,playlist_name,playlist_id,track_name,artists,track_id,album,album_release,popularity,duration_ms
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Fire Burning,Sean Kingston,2oENJa1T33GJ0w8dC167G4,Tomorrow,2009-09-07,74,239986
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Club Can't Handle Me (feat. David Guetta),"Flo Rida, David Guetta",6ebkx7Q5tTxrCxKq4GYj0Y,Only One Flo (Part 1),2010-11-24,81,234560
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Do You Remember,"Jay Sean, Sean Paul, Lil Jon",6A5NlmBCsCGbJ27jHQgKV5,All Or Nothing,2009-01-01,72,210800
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Down,"Jay Sean, Lil Wayne",6cmm1LMvZdB5zsCwX5BjqE,All Or Nothing,2009-01-01,81,212506
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Milkshake,Kelis,2cMTIlktg3M9mXYqCPqw1J,Tasty,2003-12-05,3,182626
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Lose My Breath,Destiny's Child,2n4uOdMHzEvcZ0KP7iQnay,Destiny Fulfilled,2004,67,242013
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Dirrty (feat. Redman),"Christina Aguilera, Redman",59ZTxQo8rBycIXPLUIKvE2,Stripped,2002-07-19,67,298853
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Die Young,Kesha,7EQGXaVSyEDsCWKmUcfpLk,Warrior (Expanded Edition),2012-11-30,79,211920
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Good Time,"Owl City, Carly Rae Jepsen",1kPpge9JDLpcj15qgrPbYX,The Midsummer Station,2012-08-17,77,205933
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,DJ Got Us Fallin' In Love (feat. Pitbull),"USHER, Pitbull",4356Typ82hUiFAynbLYbPn,Raymond v Raymond (Expanded Edition),2010-03-30,84,220800
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,He Said She Said,Ashley Tisdale,0jTTjg6q4jsd2RhuHwTvLj,Headstrong,2007,54,188000
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,She Wolf,Shakira,4cS2HQ6jK80vqdY9ofpztx,She Wolf (Expanded Edition),2009,4,188866
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Maneater,Nelly Furtado,4wH4dJgrsxONID6KS2tDQM,Loose,2006-01-01,85,258893
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Gimme More,Britney Spears,6ic8OlLUNEATToEFU3xmaH,Blackout,2007-10-25,85,251244
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,I'm a Slave 4 U,Britney Spears,6ldwfK0yWgTAlmIfuQkTYN,Britney (Digital Deluxe Version),2001-10-31,73,203600
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Me Against the Music (feat. Madonna) - LP Version / Video Mix,"Britney Spears, Madonna",7mS8RbJji2UZAaguRGsOCH,In The Zone,2003-11-13,61,223773
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,STARSTRUKK (feat. Katy Perry),"3OH!3, Katy Perry, Matt Squire",1hBM2D1ULT3aeKuddSwPsK,WANT (Deluxe),2009-01-16,65,202666
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,4 Minutes (feat. Justin Timberlake & Timbaland),"Madonna, Justin Timberlake, Timbaland",1oHClQEgDmmbcEx12Kc5nZ,Celebration (double disc version),2009-09-18,77,189693
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Dangerous,"Kardinal Offishall, Akon",4NOZ35Dhucr6UlVyLOtktd,Not 4 Sale,2008-01-01,79,246053
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Superstar,Jamelia,3oobWqIgYrSRg18uqRuPIF,Thank You,2003-06-30,1,215480
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Circus,Britney Spears,7jk7gqyEonmVVYahZN5zhW,Circus (Deluxe Version),2008-12-02,78,192359
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,S&M,Rihanna,7ySUcLPVX7KudhnmNcgY2D,Loud,2010-01-01,85,243600
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Your Love Is My Drug,Kesha,6vc2Jq2vaGu8z326kSrw92,Animal (Expanded Edition),2010-01-01,77,187133
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Goodies (feat. Petey Pablo),"Ciara, Petey Pablo",3dFwpxh2yH7C7p9BGEKLVB,Goodies,2004-09-27,69,223000
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Super Bass,Nicki Minaj,3hlksXnvbKogFdPbpO9vel,Pink Friday (Complete Edition),2010-11-22,79,200013
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Beauty And A Beat,"Justin Bieber, Nicki Minaj",6QFCMUUq1T2Vf5sFUXcuQ7,Believe,2012-01-01,84,227986
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,BedRock,"Young Money, Lloyd",3iL2l5gUqyPS6vDwJFgJTR,We Are Young Money,2009-01-01,70,288133
